Date,Open,High,Low,Close,Volume,Adj Close
2014-05-14,2896.26,2954.00,2896.26,2905.14,47986000,2866.115
2014-05-13,2882.93,2900.70,2856.28,2878.49,13920900,2839.823
2014-05-12,2891.81,2905.14,2860.72,2874.05,18483400,2835.442
2014-05-09,2869.60,2900.70,2851.84,2878.49,29342800,2839.823
2014-05-08,2798.53,2878.49,2794.09,2865.16,69607600,2826.672
2014-05-07,2643.06,2789.65,2620.85,2780.76,61747500,2743.406
2014-05-06,2665.27,2683.03,2647.50,2647.50,11075900,2611.936
2014-05-05,2691.92,2696.36,2647.50,2660.82,18642900,2625.077
2014-05-02,2665.27,2700.80,2656.38,2683.03,42360900,2646.988
2014-05-01,2651.94,2651.94,2651.94,2651.94,000,2616.316
2014-04-30,2656.38,2683.03,2647.50,2651.94,22257800,2616.316
2014-04-29,2638.61,2656.38,2611.96,2643.06,23956600,2607.555
2014-04-28,2723.01,2740.78,2611.96,2620.85,41637900,2585.644
2014-04-25,2669.71,2745.22,2669.71,2723.01,46965900,2686.431
2014-04-24,2589.75,2683.03,2558.66,2660.82,64863500,2625.077
2014-04-23,2620.85,2634.17,2540.89,2571.98,40702700,2537.43
